Filesystem       Size  Used Avail Use% Mounted on
/dev/root         19G   16G  2.5G  87% /
tmpfs            953M     0  953M   0% /dev/shm
tmpfs            382M  1.1M  380M   1% /run
efivarfs         128K  3.3K  120K   3% /sys/firmware/efi/efivars
none             1.0M     0  1.0M   0% /run/credentials/systemd-journald.service
none             1.0M     0  1.0M   0% /run/credentials/systemd-resolved.service
tmpfs            953M  4.7M  948M   1% /tmp
/dev/nvme0n1p13  989M  174M  748M  19% /boot
/dev/nvme0n1p15  105M  6.3M   99M   7% /boot/efi
none             1.0M     0  1.0M   0% /run/credentials/systemd-networkd.service
none             1.0M     0  1.0M   0% /run/credentials/getty@tty1.service
none             1.0M     0  1.0M   0% /run/credentials/serial-getty@ttyS0.service
tmpfs            191M   56K  191M   1% /run/user/1000
